,,,70,90,53,16,89,40,8,27,29,15,28,9,,,,,COLORBLIND,,,27,34,19,9,37,10,3,21,5,18,3
,,,,,,,,,,,,,,,,,,,P011,0,A pink party might conjure up images of Girls' Generation's dreamy and happy days,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,P012,0,It's a party that is very pink.,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,P013,0,I informed my answer by looking at the question and thinking about how it would be answered. I also used a dictionary to find out what words meant.,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,P014,0,I felt it's right,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,P015,0,brain,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,P016,0,In my own mind,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,P017,0,Pink being a colour,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,P018,0,Pink colour means acctrativeness,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,P019,0,"The bright pink color is usually associated with happy and cheerful one. It gives a person a kind of relaxed, sweet and happy feeling, often with girls, fairy tales, and romantic feelings together.",,1,1,,1,,,,,,
,,,,,,,,,,,,,,,,,,,P020,0,Color perception,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,P021,0,I used the internet to find information about the topic.,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,P022,0,Based on color,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,P023,0,Through my understanding and perception of the sentence,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,P024,0,According to the literal meaning of this sentence.,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,P025,0,"As a male painter, I know that the word ""pink"" has two meanings. The first is a color. It's a bright red color, so it's not really very pink at all. The second meaning is that it has to do with female anatomy, which I am not too familiar with (I like girls, but don't know too much about their bodies). So when someone says, ""It was a very pink party,"" they are saying that there were lots of women at this party.",1,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,P026,0,Pink is great in my heart,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,P027,0,Moment of intimacy and warmth.,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,P028,0,idea,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,P029,0,I thought about it,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,P030,0,Based on the colour view feeling,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,P031,0,Double Dating,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,P032,0,"I would imagine a party that's very pink would be full of women in hot pink dresses, with lots of tissue paper and streamers floating through the air. There might also be a lot of red wine and other party foods, with pink tablecloths and napkins.",1,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,P033,0,"I would explain that it is a very pink party because I can see the party reflected on the wall. The wall is pink and has been painted pink, so when I look at the wall, it looks like the party.",1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,P034,0,the hue itself brings a calm feeling to me. My personal reaction to the color.,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_001,0,Just my association with the colour in relation to a party,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_002,0,It just comes up,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_003,0,The personalities of the people that enjoy/wear those colors.,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_004,0,I associated pink with girls,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_007,0,n/a,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,PR_008,0,Stereotypical,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_010,0,I just see pink as a lively colour,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_011,0,As i felt it was the most best option,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_012,0,Pink is bright and so I associated the party as being quite upbeat and energetic,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_013,0,pink associate with girls typically,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_014,0,I thought how the colour would represent the event,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_016,0,pink is traditionally associated with female things.,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_017,0,I thought about what the atmosphere of a party is usually like and matched it with how I felt about the colour pink,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_018,0,Pink is associated with happiness and love so that's how I came up with my anwer,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_019,0,Associated the color with what I would believe the mood would be.,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_021,0,It was first thing that came to mind,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_022,0,pink always strikes me as a frivolous and female colour,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_023,0,The images of what I thought it was appeared visually in my mind. In this case a girl birthday party surrounded in in pink decorations then it went onto an hen party with a group of women dressed in over revealing pink clothing.,1,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_024,0,Logic,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_026,0,Pink seems a very stereotypical colour and is used in many products to indicate a soft feminine character. Not much variety in pink for me.,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_028,0,its just how i felt,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_029,0,From the colour of pink which is bright and connotes excitement,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_031,0,Pink and party reminds me of Pinkie Pie from MLP.,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_032,0,Thought how I'd mean it if I said it myself.,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_034,0,i tried to guess the meaning,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,PR_035,0,pink is a traditionally feminine colour,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_037,0,Just my thoughts,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_039,0,NA,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,PR_040,0,I went with a gut feeling reaction,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_041,0,My perception of the color pink and what I feel its associated with informed my answer.,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_043,0,Just from my experience of parties,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_044,0,I just thought of the most reasonable and logical explanation.,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_046,0,I know loads of mates' young daughters who all enjoy a girlie party when they are nippers. very stereotyped !!,,,,1,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_047,0,Because it's the kind of thing that students do,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_048,0,By using how I would feel.,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_049,0,General knowledge,,,,,1,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_050,0,I answered what came to mind.,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_052,0,Just on what I thought,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_053,0,I just think pink is the color that is associated with being in a happy mood.,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_054,0,I wrote it down.,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,PR_055,0,A joyfull colour,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_057,0,Gender stereotypes,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_058,0,I just said what I felt,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_059,0,Very pink to me indicating a young girls preferred colour maybe,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_060,0,Based on observatons regarding the characters involved and their actions.,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_061,0,Pink is generally associated as a girl's colour,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_064,0,Just how I felt about it if I was at a pink party,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_068,0,Pink and party usually indicates youth and fun,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_070,0,societal bias,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_071,0,A guess on what pink could mean in that context,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_073,0,Thinking,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_075,0,by relating the colour,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_076,0,i associate pink with femininity,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_077,0,Pink 🩷 is a colour that girls love,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_078,0,Based it on pink being a stereotypical female colour,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_079,0,NA,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,PR_080,0,First thing that appeared in my head,1,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_081,0,Brightness of the colour,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_082,0,Girls like the colour pink,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_083,0,Pink tends to be a very bright and pleasant colour.,1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_084,0,From the fact that historically the colour pink is associated with femininity.,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_085,0,I know what pink usually means,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,PR_086,0,I associate the colour pink with being happy,,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_092,0,I guessed what pink is in the context,,,,,,1,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_094,0,Simply an association with the colour pink.,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_095,0,I can tell from the content.,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_097,0,It was based on one instance I heard it in a social context.,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_098,0,I couldn't,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,PR_099,0,I associate pink colour with females being playful,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_101,0,I based it on a lifetime of speaking English as my first language,,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,PR_102,0,Stereotypes,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_103,0,A wild guess,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_106,0,Boldly,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,PR_107,0,Just an instant guess really.,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_109,0,Thought about it,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,PR_110,0,I guessed what the colour could mean in the context of the sentence.,,,,,,1,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_112,0,associations with the colour from nature and culture,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_114,0,based on my own experiences,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_115,0,how i felt with the color,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_117,0,Just from imagination and past perceptions.,1,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_118,0,Pink is usually related to feminine things,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_121,0,I answered based on my perception of the color pink and how bright it is as well as its traditional link as a feminine color.,1,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_122,0,Thinking of the colour,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_123,0,"Based on my feelings towards an old saying ""tickled pink"".",,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,PR_124,0,Preconceived ideas,,,,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_126,0,I had a picture in my mind of people talking and socialising,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_127,0,pink thought in the pink happy,,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_128,0,informative,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,PR_129,0,Natural association,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_130,0,Just what i think,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_133,0,I guessed,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,PR_134,0,Saw it in my mind,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_137,0,"Traditional colour favoured by females in our society, altough these stereotypes are changing",,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,PR_138,0,I guessed,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_140,0,In the context I interpreted pink as fun / light hearted,,,1,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_143,0,a general feeling,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_144,0,I used my perception of the color pink to infer what a pink party is.,1,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,PR_145,0,From the Pink Picnic l wrote about in 1b,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_148,0,Because that's what the stereotype is - think Barbie & whatnot.,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_204,0,past traditional sayng,,,,,,,1,,,,
,,,,,,,,,,,,,,,,,,,PR_205,0,NA,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,PR_206,0,Read the sentence a few times and tried to picture it,1,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,PR_207,0,I thought of what the colour pink represents to me,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_209,0,"I thought of ways it was pink, literally or to represent a feeling",1,,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_210,0,Thought about what Pink usually means.,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,PR_211,0,My perception of this colour.,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_212,0,Not sure,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,PR_213,0,Girls like pink,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_215,0,i guessed,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_218,0,By what Ivfee the colour pink means,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PR_220,0,I guessed what the answer could be.,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,PR_221,0,just a feeling,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,PR_222,0,Based on my previous answers and what i thought the colour meant,,,,,,1,1,,,,
,,,,,,,,,,,,,,,,,,,PR_223,0,Pink is the colour associated with the gay community,,1,,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
